Rank,Title,Employees,Sector,Industry,Hqlocation,Hqcity,Hqtel,Ceo,Revenues,Profits,Assets,Totshequity
1,Walmart,2300000,Retailing,General Merchandisers,"Bentonville, AR",Bentonville,479-273-4000,C. Douglas McMillon,485873,13643,198825,77798
2,Berkshire Hathaway,367700,Financials,Insurance: Property and Casualty (Stock),"Omaha, NE",Omaha,402-346-1400,Warren E. Buffett,223604,24074,620854,283001
3,Apple,116000,Technology,"Computers, Office Equipment","Cupertino, CA",Cupertino,408-996-1010,Timothy D. Cook,215639,45687,321686,128249
4,Exxon Mobil,72700,Energy,Petroleum Refining,"Irving, TX",Irving,972-444-1000,Darren W. Woods,205004,7840,330314,167325
5,McKesson,68000,Wholesalers,Wholesalers: Health Care,"San Francisco, CA",San Francisco,415-983-8300,John H. Hammergren,192487,2258,56563,8924
6,UnitedHealth Group,230000,Health Care,Health Care: Insurance and Managed Care,"Minnetonka, MN",Minnetonka,952-936-1300,Stephen J. Hemsley,184840,7017,122810,38274
7,CVS Health,204000,Health Care,Health Care: Pharmacy and Other Services,"Woonsocket, RI",Woonsocket,401-765-1500,Larry J. Merlo,177526,5317,94462,36830
8,General Motors,225000,Motor Vehicles & Parts,Motor Vehicles and Parts,"Detroit, MI",Detroit,313-556-5000,Mary T. Barra,166380,9427,221690,43836
9,AT&T,268540,Telecommunications,Telecommunications,"Dallas, TX",Dallas,210-821-4105,Randall L. Stephenson,163786,12976,403821,123135
10,Ford Motor,201000,Motor Vehicles & Parts,Motor Vehicles and Parts,"Dearborn, MI",Dearborn,313-322-3000,James P. Hackett,151800,4596,237951,29170
11,AmerisourceBergen,18500,Wholesalers,Wholesalers: Health Care,"Chesterbrook, PA",Chesterbrook,610-727-7000,Steven H. Collis,146850,1427.9,33656,2129
12,Amazon.com,341400,Technology,Internet Services and Retailing,"Seattle, WA",Seattle,206-266-1000,Jeffrey P. Bezos,135987,2371,83402,19285
13,General Electric,295000,Industrials,Industrial Machinery,"Boston, MA",Boston,617-443-3000,Jeffrey R. Immelt,126661,8831,365183,75828
14,Verizon,160900,Telecommunications,Telecommunications,"New York, NY",New York,212-395-1000,Lowell C. McAdam,125980,13127,244180,22524
15,Cardinal Health,37300,Wholesalers,Wholesalers: Health Care,"Dublin, OH",Dublin,614-757-5000,George S. Barrett,121546,1427,34122,6554
16,Costco,172000,Retailing,General Merchandisers,"Issaquah, WA",Issaquah,425-313-8100,W. Craig Jelinek,118719,2350,33163,12079
17,Walgreens Boots Alliance,300000,Food & Drug Stores,Food and Drug Stores,"Deerfield, IL",Deerfield,847-315-2500,Stefano Pessina,117351,4173,72688,29880
18,Kroger,443000,Food & Drug Stores,Food and Drug Stores,"Cincinnati, OH",Cincinnati,513-762-4000,W. Rodney McMullen,115337,1975,36505,6698
19,Chevron,55200,Energy,Petroleum Refining,"San Ramon, CA",San Ramon,925-842-1000,John S. Watson,107567,-497,260078,145556
20,Fannie Mae,7000,Financials,Diversified Financials,"Washington, DC",Washington,800-232-6643,Timothy J. Mayopoulos,107162,12313,3287968,6071
21,J.P. Morgan Chase,243355,Financials,Commercial Banks,"New York, NY",New York,212-270-6000,James Dimon,105486,24733,2490972,254190
22,Express Scripts Holding,25600,Health Care,Health Care: Pharmacy and Other Services,"St. Louis, MO",St. Louis,314-996-0900,Timothy C. Wentworth,100288,3404.4,51745,16236
23,Home Depot,406000,Retailing,Specialty Retailers: Other,"Atlanta, GA",Atlanta,770-433-8211,Craig A. Menear,94595,7957,42966,4333
24,Boeing,150540,Aerospace & Defense,Aerospace and Defense,"Chicago, IL",Chicago,312-544-2000,Dennis A. Muilenburg,94571,4895,89997,817
25,Wells Fargo,269100,Financials,Commercial Banks,"San Francisco, CA",San Francisco,866-878-5865,Timothy J. Sloan,94176,21938,1930115,199581
26,Bank of America Corp.,208024,Financials,Commercial Banks,"Charlotte, NC",Charlotte,704-386-5681,Brian T. Moynihan,93662,17906,2187702,266840
27,Alphabet,72053,Technology,Internet Services and Retailing,"Mountain View, CA",Mountain View,650-253-0000,Larry Page,90272,19478,167497,139036
28,Microsoft,114000,Technology,Computer Software,"Redmond, WA",Redmond,425-882-8080,Satya Nadella,85320,16798,193694,71997
29,Anthem,53000,Health Care,Health Care: Insurance and Managed Care,"Indianapolis, IN",Indianapolis,317-488-6000,Joseph R. Swedish,84863,2469.8,65083,25100
30,Citigroup,219000,Financials,Commercial Banks,"New York, NY",New York,212-559-1000,Michael L. Corbat,82386,14912,1792077,225120
31,Comcast,159000,Telecommunications,Telecommunications,"Philadelphia, PA",Philadelphia,215-286-1700,Brian L. Roberts,80403,8695,180500,53943
32,IBM,414400,Technology,Information Technology Services,"Armonk, NY",Armonk,914-499-1900,Virginia M. Rometty,79919,11872,117470,18246
33,State Farm Insurance Cos.,68234,Financials,Insurance: Property and Casualty (Mutual),"Bloomington, IL",Bloomington,309-766-2311,Michael L. Tipsord,76132,350.3,256030,87592
34,Phillips 66,14800,Energy,Petroleum Refining,"Houston, TX",Houston,281-293-6600,Greg C. Garland,72396,1555,51653,22390
35,Johnson & Johnson,126400,Health Care,Pharmaceuticals,"New Brunswick, NJ",New Brunswick,732-524-0400,Alex Gorsky,71890,16540,141208,70418
36,Procter & Gamble,105000,Household Products,Household and Personal Products,"Cincinnati, OH",Cincinnati,513-983-1100,David S. Taylor,71726,10508,127136,57341
37,Valero Energy,9996,Energy,Petroleum Refining,"San Antonio, TX",San Antonio,210-345-2000,Joseph W. Gorder,70166,2289,46173,20024
38,Target,323000,Retailing,General Merchandisers,"Minneapolis, MN",Minneapolis,612-304-6073,Brian C. Cornell,69495,2737,37431,10953
39,Freddie Mac,5982,Financials,Diversified Financials,"McLean, VA",McLean,703-903-2000,Donald H. Layton,65665,7815,2023376,5075
40,Lowe’s,240000,Retailing,Specialty Retailers: Other,"Mooresville, NC",Mooresville,704-758-1000,Robert A. Niblock,65017,3093,34408,6434
41,Dell Technologies,138000,Technology,"Computers, Office Equipment","Round Rock, TX",Round Rock,800-289-3355,Michael S. Dell,64806,-1672,118206,13243
42,MetLife,58000,Financials,"Insurance: Life, Health (Stock)","New York, NY",New York,212-578-2211,Steven A. Kandarian,63476,800,898764,67309
43,Aetna,49500,Health Care,Health Care: Insurance and Managed Care,"Hartford, CT",Hartford,860-273-0123,Mark T. Bertolini,63155,2271,69146,17881
44,PepsiCo,264000,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, NY",Purchase,914-253-2000,Indra K. Nooyi,62799,6329,74129,11095
45,Archer Daniels Midland,31800,"Food, Beverages & Tobacco",Food Production,"Chicago, IL",Chicago,312-634-8100,Juan R. Luciano,62346,1279,39769,17173
46,UPS,335520,Transportation,"Mail, Package, and Freight Delivery","Atlanta, GA",Atlanta,404-828-6000,David P. Abney,60906,3431,40377,405
47,Intel,106000,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",Santa Clara,408-765-8080,Brian M. Krzanich,59387,10316,113327,66226
48,Prudential Financial,49739,Financials,"Insurance: Life, Health (Stock)","Newark, NJ",Newark,973-802-6000,John R. Strangfeld,58779,4368,783962,45863
49,Albertsons Cos.,274000,Food & Drug Stores,Food and Drug Stores,"Boise, ID",Boise,208-395-6200,Robert G. Miller,58734,-502.2,23770,1613
50,United Technologies,201600,Aerospace & Defense,Aerospace and Defense,"Farmington, CT",Farmington,860-728-7000,Gregory J. Hayes,57244,5055,89706,27579
51,Marathon Petroleum,44460,Energy,Petroleum Refining,"Findlay, OH",Findlay,419-422-2121,Gary R. Heminger,55858,1174,44413,13557
52,Disney,195000,Media,Entertainment,"Burbank, CA",Burbank,818-560-1000,Robert A. Iger,55632,9391,92033,43265
53,Humana,51600,Health Care,Health Care: Insurance and Managed Care,"Louisville, KY",Louisville,502-580-1000,Bruce D. Broussard,54379,614,25396,10685
54,Pfizer,96500,Health Care,Pharmaceuticals,"New York, NY",New York,212-733-2323,Ian C. Read,52824,7215,171615,59544
55,AIG,56400,Financials,Insurance: Property and Casualty (Stock),"New York, NY",New York,212-770-7000,Brian Duperreault,52367,-849,498264,76300
56,Lockheed Martin,97000,Aerospace & Defense,Aerospace and Defense,"Bethesda, MD",Bethesda,301-897-6000,Marillyn A. Hewson,50658,5302,47806,1511
57,Sysco,51900,Wholesalers,Wholesalers: Food and Grocery,"Houston, TX",Houston,281-584-1390,William J. DeLaney III,50367,949.6,16722,3480
58,FedEx,335767,Transportation,"Mail, Package, and Freight Delivery","Memphis, TN",Memphis,901-818-7500,Frederick W. Smith,50365,1820,46064,13784
59,Hewlett Packard Enterprise,195000,Technology,Information Technology Services,"Palo Alto, CA",Palo Alto,650-857-1501,Margaret C. Whitman,50123,3161,79679,31448
60,Cisco Systems,73700,Technology,Network and Other Communications Equipment,"San Jose, CA",San Jose,408-526-4000,Charles H. Robbins,49247,10739,121652,63586
61,HP,49000,Technology,"Computers, Office Equipment","Palo Alto, CA",Palo Alto,650-857-1501,Dion J. Weisler,48238,2496,29010,-3889
62,Dow Chemical,56000,Chemicals,Chemicals,"Midland, MI",Midland,989-636-1000,Andrew N. Liveris,48158,4318,79511,25987
63,HCA Holdings,210500,Health Care,Health Care: Medical Facilities,"Nashville, TN",Nashville,615-344-9551,R. Milton Johnson,44747,2890,33758,-7302
64,Coca-Cola,100300,"Food, Beverages & Tobacco",Beverages,"Atlanta, GA",Atlanta,404-676-2121,James B. Quincey,41863,6527,87270,23062
65,New York Life Insurance,11320,Financials,"Insurance: Life, Health (Mutual)","New York, NY",New York,212-576-7000,Theodore A. Mathas,40787,1088.1,287196,20108
66,Centene,30500,Health Care,Health Care: Insurance and Managed Care,"St. Louis, MO",St. Louis,314-725-4477,Michael F. Neidorff,40721,562,20197,5895
67,American Airlines Group,122300,Transportation,Airlines,"Fort Worth, TX",Fort Worth,817-963-1234,W. Douglas Parker,40180,2676,51274,3785
68,Nationwide,34320,Financials,Insurance: Property and Casualty (Mutual),"Columbus, OH",Columbus,800-882-2822,Stephen S. Rasmussen,40074,334.3,197790,15537
69,Merck,68000,Health Care,Pharmaceuticals,"Kenilworth, NJ",Kenilworth,908-740-4000,Kenneth C. Frazier,39807,3920,95377,40088
70,Cigna,41000,Health Care,Health Care: Insurance and Managed Care,"Bloomfield, CT",Bloomfield,860-226-6000,David M. Cordani,39668,1867,59360,13723
71,Delta Air Lines,83756,Transportation,Airlines,"Atlanta, GA",Atlanta,404-715-2600,Edward H. Bastian,39639,4373,51261,12287
72,Best Buy,125000,Retailing,Specialty Retailers: Other,"Richfield, MN",Richfield,612-291-1000,Hubert B. Joly,39403,1228,13856,4709
73,Honeywell International,131000,Industrials,"Electronics, Electrical Equipment","Morris Plains, NJ",Morris Plains,973-455-2000,Darius Adamczyk,39302,4809,54146,19369
74,Caterpillar,95400,Industrials,Construction and Farm Machinery,"Peoria, IL",Peoria,309-675-1000,D. James Umpleby III,38537,-67,74704,13137
75,Liberty Mutual Insurance Group,50000,Financials,Insurance: Property and Casualty (Stock),"Boston, MA",Boston,617-357-9500,David H. Long,38308,1006,125592,20366
76,Morgan Stanley,55311,Financials,Commercial Banks,"New York, NY",New York,212-761-4000,James P. Gorman,37949,5979,814949,76050
77,Massachusetts Mutual Life Insurance,11737,Financials,"Insurance: Life, Health (Mutual)","Springfield, MA",Springfield,413-744-8411,Roger W. Crandall,37788,1273.5,271040,15424
78,Goldman Sachs Group,34400,Financials,Commercial Banks,"New York, NY",New York,212-902-1000,Lloyd C. Blankfein,37712,7398,860165,86893
79,Energy Transfer Equity,30992,Energy,Pipelines,"Dallas, TX",Dallas,214-981-0700,John W. McReynolds,37504,995,79011,-1694
80,TIAA,12997,Financials,"Insurance: Life, Health (Mutual)","New York, NY",New York,212-490-9000,Roger W. Ferguson Jr.,37105,1492.3,523194,35583
81,Oracle,136000,Technology,Computer Software,"Redwood City, CA",Redwood City,650-506-7000,"Safra A. Catz, Mark V. Hurd",37047,8901,112180,47289
82,Tyson Foods,114000,"Food, Beverages & Tobacco",Food Production,"Springdale, AR",Springdale,479-290-4000,Thomas P. Hayes,36881,1768,22373,9608
83,United Continental Holdings,88000,Transportation,Airlines,"Chicago, IL",Chicago,872-825-4000,Oscar Munoz,36556,2263,40140,8659
84,Allstate,43275,Financials,Insurance: Property and Casualty (Stock),"Northbrook, IL",Northbrook,847-402-5000,Thomas J. Wilson,36534,1877,108610,20573
85,Publix Super Markets,191000,Food & Drug Stores,Food and Drug Stores,"Lakeland, FL",Lakeland,863-688-1188,Randall T. Jones Sr.,34274,2025.7,17464,13473
86,American Express,56400,Financials,Diversified Financials,"New York, NY",New York,212-640-2000,Kenneth I. Chenault,33823,5408,158893,20501
87,TJX,235000,Retailing,Specialty Retailers: Apparel,"Framingham, MA",Framingham,508-390-1000,Ernie L. Herrman,33184,2298.2,12884,4511
88,Nike,70700,Apparel,Apparel,"Beaverton, OR",Beaverton,503-671-6453,Mark G. Parker,32376,3760,21396,12258
89,Exelon,34396,Energy,Utilities: Gas and Electric,"Chicago, IL",Chicago,800-483-3220,Christopher M. Crane,31360,1134,114904,25837
90,General Dynamics,98800,Aerospace & Defense,Aerospace and Defense,"Falls Church, VA",Falls Church,703-876-3000,Phebe N. Novakovic,31353,2955,32872,10976
91,Rite Aid,70580,Food & Drug Stores,Food and Drug Stores,"Camp Hill, PA",Camp Hill,717-761-2633,John T. Standley,30737,165.5,11277,581
92,Gilead Sciences,9000,Health Care,Pharmaceuticals,"Foster City, CA",Foster City,650-574-3000,John F. Milligan,30390,13501,56977,18887
93,CHS,12157,"Food, Beverages & Tobacco",Food Production,"Inver Grove Heights, MN",Inver Grove Heights,651-355-6000,Jay D. Debertin,30347,424.2,17318,7852
94,3M,91584,Industrials,Miscellaneous,"St. Paul, MN",St. Paul,651-733-1110,Inge G. Thulin,30109,5050,32906,10298
95,Time Warner,25000,Media,Entertainment,"New York, NY",New York,212-484-8000,Jeffrey L. Bewkes,29318,3926,65966,24335
96,Charter Communications,91500,Telecommunications,Telecommunications,"Stamford, CT",Stamford,203-905-7800,Thomas M. Rutledge,29003,3522,149067,40139
97,Northwestern Mutual,5646,Financials,"Insurance: Life, Health (Mutual)","Milwaukee, WI",Milwaukee,414-271-1444,John E. Schlifske,28799,818,250441,20226
98,Facebook,17048,Technology,Internet Services and Retailing,"Menlo Park, CA",Menlo Park,650-543-4800,Mark Zuckerberg,27638,10217,64961,59194
99,Travelers Cos.,30900,Financials,Insurance: Property and Casualty (Stock),"New York, NY",New York,917-778-6000,Alan D. Schnitzer,27625,3014,100245,23221
100,Capital One Financial,47300,Financials,Commercial Banks,"McLean, VA",McLean,703-720-1000,Richard D. Fairbank,27519,3751,357033,47514
101,Twenty-First Century Fox,21500,Media,Entertainment,"New York, NY",New York,212-852-7000,James R. Murdoch,27326,2755,48365,13661
102,USAA,29943,Financials,Insurance: Property and Casualty (Stock),"San Antonio, TX",San Antonio,210-498-2211,Stuart Parker,27131,1779.1,147290,28840
103,World Fuel Services,5000,Energy,Energy,"Miami, FL",Miami,305-428-8000,Michael J. Kasbar,27016,126.5,5413,1925
104,Philip Morris International,79500,"Food, Beverages & Tobacco",Tobacco,"New York, NY",New York,917-663-2000,Andre Calantzopoulos,26685,6967,36851,-12688
105,Deere,56767,Industrials,Construction and Farm Machinery,"Moline, IL",Moline,309-765-8000,Samuel R. Allen,26644,1523.9,57981,6520
106,Kraft Heinz,41000,"Food, Beverages & Tobacco",Food Consumer Products,"Pittsburgh, PA",Pittsburgh,412-456-5700,Bernardo Hees,26487,3632,120480,57358
107,Tech Data,9500,Wholesalers,Wholesalers: Electronics and Office Equipment,"Clearwater, FL",Clearwater,727-539-7429,Robert M. Dutkowsky,26235,195.1,7932,2170
108,Avnet,17700,Wholesalers,Wholesalers: Electronics and Office Equipment,"Phoenix, AZ",Phoenix,480-643-2000,William J. Amelio,26219,506.5,11240,4691
109,Mondelez International,90000,"Food, Beverages & Tobacco",Food Consumer Products,"Deerfield, IL",Deerfield,847-943-4000,Irene B. Rosenfeld,25923,1659,61538,25161
110,Macy’s,148300,Retailing,General Merchandisers,"Cincinnati, OH",Cincinnati,513-579-7000,Jeffrey Gennette,25778,619,19851,4323
111,AbbVie,30000,Health Care,Pharmaceuticals,"North Chicago, IL",North Chicago,847-932-7900,Richard A. Gonzalez,25638,5953,66099,4636
112,McDonald’s,375000,"Hotels, Restaurants & Leisure",Food Services,"Oak Brook, IL",Oak Brook,630-623-3000,Stephen J. Easterbrook,24622,4686.5,31024,-2204
113,DuPont,46000,Chemicals,Chemicals,"Wilmington, DE",Wilmington,302-774-1000,Edward D. Breen,24594,2513,39964,9998
114,Northrop Grumman,67000,Aerospace & Defense,Aerospace and Defense,"Falls Church, VA",Falls Church,703-280-2900,Wesley G. Bush,24508,2200,25614,5259
115,ConocoPhillips,13300,Energy,"Mining, Crude-Oil Production","Houston, TX",Houston,281-293-1000,Ryan M. Lance,24360,-3615,89772,34974
116,Raytheon,63000,Aerospace & Defense,Aerospace and Defense,"Waltham, MA",Waltham,781-522-3000,Thomas A. Kennedy,24069,2211,30052,10066
117,Tesoro,6308,Energy,Petroleum Refining,"San Antonio, TX",San Antonio,210-626-6000,Gregory J. Goff,24005,734,20398,5465
118,Arrow Electronics,18700,Wholesalers,Wholesalers: Electronics and Office Equipment,"Centennial, CO",Centennial,303-824-4000,Michael J. Long,23825,522.8,14206,4413
119,Qualcomm,30500,Technology,Semiconductors and Other Electronic Components,"San Diego, CA",San Diego,858-587-1121,Steven M. Mollenkopf,23554,5705,52359,31778
120,Progressive,31721,Financials,Insurance: Property and Casualty (Stock),"Mayfield Village, OH",Mayfield Village,440-461-5000,Susan Patricia Griffith,23441,1031,33428,7957
121,Duke Energy,28798,Energy,Utilities: Gas and Electric,"Charlotte, NC",Charlotte,704-382-3853,Lynn J. Good,23369,2152,132761,41033
122,Enterprise Products Partners,6800,Energy,Pipelines,"Houston, TX",Houston,713-381-6500,A. James Teague,23022,2513.1,52194,22047
123,Amgen,19200,Health Care,Pharmaceuticals,"Thousand Oaks, CA",Thousand Oaks,805-447-1000,Robert A. Bradway,22991,7722,77626,29875
124,US Foods Holding,25000,Wholesalers,Wholesalers: Food and Grocery,"Rosemont, IL",Rosemont,847-720-8000,Pietro Satriano,22919,209.8,8945,2538
125,U.S. Bancorp,71191,Financials,Commercial Banks,"Minneapolis, MN",Minneapolis,651-466-3000,Andrew J. Cecere,22744,5888,445964,47298
126,Aflac,10212,Financials,"Insurance: Life, Health (Stock)","Columbus, GA",Columbus,706-323-3431,Daniel P. Amos,22559,2659,129819,20482
127,Sears Holdings,140000,Retailing,General Merchandisers,"Hoffman Estates, IL",Hoffman Estates,847-286-2500,Edward S. Lampert,22138,-2221,9362,-3824
128,Dollar General,121000,Retailing,Specialty Retailers: Other,"Goodlettsville, TN",Goodlettsville,615-855-4000,Todd J. Vasos,21987,1251.1,11672,5406
129,AutoNation,26000,Retailing,"Automotive Retailing, Services","Fort Lauderdale, FL",Fort Lauderdale,954-769-6000,Michael J. Jackson,21609,430.5,10060,2310
130,Community Health Systems,108000,Health Care,Health Care: Medical Facilities,"Franklin, TN",Franklin,615-465-7000,Wayne T. Smith,21374,-1721,21944,1615
131,Starbucks,254000,"Hotels, Restaurants & Leisure",Food Services,"Seattle, WA",Seattle,206-447-1575,Keven R. Johnson,21316,2817.7,14330,5884
132,Eli Lilly,41975,Health Care,Pharmaceuticals,"Indianapolis, IN",Indianapolis,317-276-2000,David A. Ricks,21222,2737.6,38806,14008
133,International Paper,55000,Materials,"Packaging, Containers","Memphis, TN",Memphis,901-419-9000,Mark S. Sutton,21079,904,33345,4341
134,Tenet Healthcare,116475,Health Care,Health Care: Medical Facilities,"Dallas, TX",Dallas,469-893-2200,Trevor Fetter,21070,-192,24701,417
135,Abbott Laboratories,75000,Health Care,Medical Products and Equipment,"Abbott Park, IL",Abbott Park,224-667-6100,Miles D. White,20853,1400,52666,20538
136,Dollar Tree,116050,Retailing,Specialty Retailers: Other,"Chesapeake, VA",Chesapeake,757-321-5000,Bob Sasser,20719,896.2,15702,5390
137,Whirlpool,93000,Industrials,"Electronics, Electrical Equipment","Benton Harbor, MI",Benton Harbor,269-923-5000,Jeff M. Fettig,20718,888,19153,4773
138,Southwest Airlines,53536,Transportation,Airlines,"Dallas, TX",Dallas,214-792-4000,Gary C. Kelly,20425,2244,23286,8441
139,Emerson Electric,103500,Industrials,"Electronics, Electrical Equipment","St. Louis, MO",St. Louis,314-553-2000,David N. Farr,20268,1635,21743,7568
140,Staples,61503,Retailing,Specialty Retailers: Other,"Framingham, MA",Framingham,508-253-5000,Shira D. Goodman,20217,-1497,8271,3688
141,Plains GP Holdings,5100,Energy,Pipelines,"Houston, TX",Houston,713-646-4100,Greg L. Armstrong,20182,94,26103,1737
142,Penske Automotive Group,24000,Retailing,"Automotive Retailing, Services","Bloomfield Hills, MI",Bloomfield Hills,248-648-2500,Roger S. Penske,20143,342.9,8861,1751
143,Union Pacific,42919,Transportation,Railroads,"Omaha, NE",Omaha,402-544-5000,Lance M. Fritz,19941,4233,55718,19932
144,Danaher,62000,Technology,"Scientific, Photographic and Control Equipment","Washington, DC",Washington,202-828-0850,Thomas P. Joyce Jr.,19912,2553.7,45295,23003
145,Southern,32015,Energy,Utilities: Gas and Electric,"Atlanta, GA",Atlanta,404-506-5000,Thomas A. Fanning,19896,2448,109697,24758
146,ManpowerGroup,28000,Business Services,Temporary Help,"Milwaukee, WI",Milwaukee,414-961-1000,Jonas Prising,19654,443.7,7574,2362
147,Bristol-Myers Squibb,25000,Health Care,Pharmaceuticals,"New York, NY",New York,212-546-4000,Giovanni Caforio,19427,4457,33707,16177
148,Altria Group,8300,"Food, Beverages & Tobacco",Tobacco,"Richmond, VA",Richmond,804-274-2200,Martin J. Barrington,19337,14239,45932,12770
149,Fluor,61551,Engineering & Construction,"Engineering, Construction","Irving, TX",Irving,469-398-7000,David T. Seaton,19037,281.4,9216,3125
150,Kohl’s,85000,Retailing,General Merchandisers,"Menomonee Falls, WI",Menomonee Falls,262-703-7000,Kevin Mansell,18686,556,13574,5177
151,Lear,148400,Motor Vehicles & Parts,Motor Vehicles and Parts,"Southfield, MI",Southfield,248-447-1500,Matthew J. Simoncini,18558,975.1,9901,3057
152,Jabil Circuit,138000,Technology,Semiconductors and Other Electronic Components,"St. Petersburg, FL",St. Petersburg,727-577-9749,Mark T. Mondello,18353,254.1,10323,2438
153,Hartford Financial Services Group,16900,Financials,Insurance: Property and Casualty (Stock),"Hartford, CT",Hartford,860-547-5000,Christopher J. Swift,18300,896,223432,16903
154,Thermo Fisher Scientific,54800,Technology,"Scientific, Photographic and Control Equipment","Waltham, MA",Waltham,781-622-1000,Marc N. Casper,18274,2021.8,45908,21539
155,Kimberly-Clark,42000,Household Products,Household and Personal Products,"Irving, TX",Irving,972-281-1200,Thomas J. Falk,18202,2166,14602,-102
156,Molina Healthcare,21000,Health Care,Health Care: Insurance and Managed Care,"Long Beach, CA",Long Beach,562-435-3666,Jospeh W. White,17782,52,7449,1649
157,PG&E Corp.,24000,Energy,Utilities: Gas and Electric,"San Francisco, CA",San Francisco,415-973-1000,Geisha J. Williams,17666,1393,68598,17940
158,Supervalu,38000,Food & Drug Stores,Food and Drug Stores,"Eden Prairie, MN",Eden Prairie,952-828-4000,Mark Gross,17529,178,4370,-441
159,Cummins,55400,Industrials,Industrial Machinery,"Columbus, IN",Columbus,812-377-5000,N. Thomas Linebarger,17509,1394,15011,6875
160,CenturyLink,40000,Telecommunications,Telecommunications,"Monroe, LA",Monroe,318-388-9000,Glen F. Post III,17470,626,47017,13399
161,AECOM,87000,Engineering & Construction,"Engineering, Construction","Los Angeles, CA",Los Angeles,213-593-8000,Michael S. Burke,17411,96.1,13727,3367
162,Xerox,133600,Technology,Computer Peripherals,"Norwalk, CT",Norwalk,203-968-3000,Jeffrey Jacobson,17126,-477,18145,4803
163,Marriott International,226500,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts","Bethesda, MD",Bethesda,301-380-3000,Arne M. Sorenson,17072,780,24140,5357
164,Paccar,23000,Industrials,Construction and Farm Machinery,"Bellevue, WA",Bellevue,425-468-7400,Ronald E. Armstrong,17033,521.7,20639,6778
